Meses,Descripcion,Tratamiento,Repeticion,Ubicacion,Index,Bringht
2,1,2,1,2,282,4
2,1,2,1,4,154,3
2,1,2,1,2,407,3
2,1,2,1,3,400,4
2,1,2,1,2,347,5
2,1,2,1,3,348,4
2,1,2,1,2,290,2
2,1,2,1,3,425,3
2,1,2,1,2,282,4
2,1,2,1,3,555,2
2,1,2,1,2,204,4
2,1,2,1,3,388,3
2,1,2,2,2,229,4
2,1,2,2,2,296,5
2,1,2,2,3,305,5
2,1,2,2,2,332,5
2,1,2,2,3,248,6
2,1,2,2,2,264,4
2,1,2,2,3,333,4
2,1,2,2,2,342,4
2,1,2,2,3,247,6
2,1,2,2,1,288,1
2,1,2,2,2,274,5
2,1,2,2,3,421,5
2,1,2,3,2,143,4
2,1,2,3,3,417,1
2,1,2,3,2,267,4
2,1,2,3,3,365,1
2,1,2,3,2,302,2
2,1,2,3,3,310,1
2,1,2,3,4,350,1
2,1,2,3,2,315,1
2,1,2,3,3,351,5
2,1,2,3,1,403,1
2,1,2,3,2,376,5
2,1,2,3,3,240,4
2,1,2,3,4,292,1
2,1,2,2,1,500,2
2,1,2,2,3,720,3
2,1,2,2,2,999,2
2,1,2,2,3,308,3
2,1,2,2,1,280,2
2,1,2,2,3,288,3
2,1,2,2,4,480,3
2,1,2,2,3,422,3
2,1,2,2,2,236,3
2,1,2,2,3,999,3
2,1,2,2,1,335,2
2,1,2,2,2,340,4
2,1,2,2,3,360,4
2,1,2,2,4,470,3
2,1,2,1,1,687,2
2,1,2,1,2,522,3
2,1,2,1,3,272,2
2,1,2,1,4,208,2
2,1,2,1,1,888,1
2,1,2,1,3,656,2
2,1,2,1,4,780,3
2,1,2,1,1,500,3
2,1,2,1,2,999,2
2,1,2,1,3,999,3
2,1,2,1,4,700,3
2,1,2,1,3,281,3
2,1,2,1,1,588,2
2,1,2,1,2,515,2
2,1,2,1,3,842,2
2,1,2,1,3,296,3
2,1,2,3,2,925,3
2,1,2,3,3,315,4
2,1,2,3,4,720,3
2,1,2,3,1,328,4
2,1,2,3,3,290,4
2,1,2,3,4,322,4
2,1,2,3,3,914,2
2,1,2,3,1,316,2
2,1,2,3,3,999,1
2,1,2,3,2,825,3
2,1,2,3,3,671,3
2,1,2,3,4,700,3
2,1,2,3,1,276,3
2,1,2,3,2,463,2
2,1,2,3,4,714,2
5,1,2,1,1,646,1
5,1,2,1,2,486,1
5,1,2,1,3,523,1
5,1,2,1,4,344,1
5,1,2,1,1,614,1
5,1,2,1,4,438,1
5,1,2,1,1,426,1
5,1,2,1,2,392,1
5,1,2,1,4,331,1
5,1,2,1,1,316,1
5,1,2,1,2,537,1
5,1,2,1,3,318,1
5,1,2,1,4,366,2
5,1,2,1,1,358,1
5,1,2,1,2,463,1
5,1,2,1,4,336,2
5,1,2,1,1,553,1
5,1,2,1,3,407,1
5,1,2,1,4,426,2
5,1,2,2,1,547,1
5,1,2,2,3,386,1
5,1,2,2,4,335,2
5,1,2,2,1,900,1
5,1,2,2,2,457,1
5,1,2,2,3,405,1
5,1,2,2,4,302,2
5,1,2,2,2,541,1
5,1,2,2,4,541,1
5,1,2,2,2,540,1
5,1,2,2,4,340,1
5,1,2,3,3,310,1
5,1,2,3,2,260,1
5,1,2,3,3,366,1
5,1,2,3,2,584,1
5,1,2,3,3,430,1
5,1,2,3,2,514,1
5,1,2,3,3,329,1
5,1,2,1,1,317,2
5,1,2,1,3,812,1
5,1,2,1,4,293,5
5,1,2,1,1,740,4
5,1,2,1,2,340,2
5,1,2,1,4,324,4
5,1,2,1,1,300,4
5,1,2,1,3,461,1
5,1,2,1,4,460,5
5,1,2,1,1,442,4
5,1,2,1,4,169,1
5,1,2,1,1,232,2
5,1,2,1,2,437,1
5,1,2,1,4,223,4
5,1,2,1,1,421,4
5,1,2,1,2,515,2
5,1,2,1,4,880,4
5,1,2,2,1,600,2
5,1,2,2,2,590,1
5,1,2,2,3,475,1
5,1,2,2,4,390,1
5,1,2,2,1,766,2
5,1,2,2,2,600,1
5,1,2,2,4,234,2
5,1,2,2,1,511,3
5,1,2,2,2,692,1
5,1,2,2,3,375,1
5,1,2,2,4,175,2
5,1,2,2,1,332,3
5,1,2,2,3,473,1
5,1,2,2,4,536,5
5,1,2,2,3,338,4
5,1,2,2,4,523,3
5,1,2,2,1,728,4
5,1,2,2,2,516,1
5,1,2,2,3,505,1
5,1,2,2,4,578,1
5,1,2,3,1,820,3
5,1,2,3,2,546,1
5,1,2,3,3,330,5
5,1,2,3,4,999,5
5,1,2,3,1,337,1
5,1,2,3,2,953,2
5,1,2,3,3,400,3
5,1,2,3,4,725,5
5,1,2,3,1,600,6
5,1,2,3,3,431,1
5,1,2,3,4,540,3
5,1,2,3,1,314,6
5,1,2,3,3,235,1
5,1,2,3,4,431,1
5,1,2,3,1,506,3
5,1,2,3,3,581,3
5,1,2,3,4,260,6
5,1,2,3,1,303,6
5,1,2,3,3,463,1
5,1,2,3,4,429,1
8,1,2,1,1,700,2
8,1,2,1,4,190,6
8,1,2,1,1,999,2
8,1,2,1,4,62,1
8,1,2,2,1,600,3
8,1,2,2,2,999,4
8,1,2,2,4,316,7
8,1,2,2,1,999,3
8,1,2,2,4,999,6
8,1,2,2,2,409,3
8,1,2,2,4,775,4
8,1,2,2,2,871,2
8,1,2,2,4,500,6
8,1,2,3,4,470,4
8,1,2,3,4,550,6
8,1,2,3,4,542,5
8,1,2,3,2,288,2
11,1,2,1,1,850,3
11,1,2,1,3,999,3
11,1,2,1,1,999,2
11,1,2,1,3,866,4
11,1,2,1,1,571,2
11,1,2,1,3,444,3
11,1,2,1,1,999,2
11,1,2,1,3,733,5
11,1,2,1,1,999,4
11,1,2,1,3,575,5
11,1,2,1,1,577,2
11,1,2,1,3,828,3
11,1,2,2,3,274,5
11,1,2,2,3,966,3
11,1,2,2,1,785,1
11,1,2,2,3,650,2
11,1,2,2,1,755,4
11,1,2,2,3,472,1
11,1,2,2,1,866,2
11,1,2,2,3,999,3
11,1,2,2,3,513,1
11,1,2,3,1,757,4
11,1,2,3,3,650,2
