Meses,Descripcion,Tratamiento,Repeticion,Index,Bringht,Tipo,Ubicacion,kmeans,Plaga
8,0,1,2,235,1,1,3,0,0
8,0,1,2,527,1,0,4,2,0
8,0,1,2,638,1,1,4,2,1
8,0,1,2,224,1,0,4,0,0
8,0,1,2,186,1,1,2,0,0
8,0,1,2,218,1,0,4,0,1
8,0,1,3,283,2,1,3,0,1
8,0,1,3,262,1,0,2,0,0
8,0,1,3,309,1,1,3,0,1
8,0,1,3,188,1,0,2,0,1
8,0,1,3,285,1,1,2,0,1
8,0,1,3,380,1,0,1,2,0
8,0,1,3,500,1,1,4,2,0
8,0,1,3,348,1,0,4,0,1
8,0,1,3,425,1,1,4,2,0
8,0,1,3,490,1,0,4,2,1
8,0,1,3,197,1,1,1,0,0
8,0,1,3,237,1,0,4,0,0
8,0,1,3,416,1,1,1,2,1
8,0,1,3,404,1,0,1,2,1
8,0,1,3,433,1,1,3,2,1
8,0,1,3,233,1,0,3,0,1
8,0,1,3,268,1,1,4,0,0
11,0,1,1,297,1,0,3,0,1
11,0,1,2,238,1,1,3,0,1
11,0,1,2,192,1,0,1,0,1
11,0,1,2,295,1,1,1,0,0
11,0,1,2,450,1,0,4,2,0
11,0,1,2,420,1,1,3,2,1
11,0,1,2,246,1,0,2,0,0
11,0,1,2,297,1,1,3,0,1
11,0,1,2,216,2,0,2,0,0
11,0,1,2,361,1,1,3,0,1
11,0,1,2,262,1,0,3,0,0
11,0,1,2,470,1,1,4,2,0
11,0,1,2,259,2,0,1,0,0
11,0,1,2,174,1,1,1,0,0
11,0,1,2,344,2,0,4,0,0
11,0,1,2,360,1,1,2,0,1
11,0,1,2,433,2,0,4,2,0
11,0,1,2,262,1,1,4,0,0
11,0,1,2,262,1,0,4,0,0
11,0,1,2,302,1,1,1,0,1
11,0,1,2,245,1,0,4,0,0
11,0,1,3,313,1,1,4,0,0
11,0,1,3,358,1,0,4,0,1
11,0,1,3,360,1,1,4,0,1
11,0,1,3,414,1,0,3,2,0
11,0,1,3,373,1,1,2,0,0
11,0,1,3,406,1,0,2,2,0
11,0,1,3,323,1,1,1,0,0
11,0,1,3,297,1,0,3,0,0
11,0,1,3,264,1,1,4,0,1
11,0,1,3,380,1,0,2,2,0
11,0,1,3,379,1,1,2,0,0
11,0,1,3,300,2,0,1,0,1
11,0,1,3,387,1,1,1,2,1
11,0,1,3,286,1,0,2,0,0
11,0,1,3,260,1,1,3,0,1
11,0,1,3,257,2,0,2,0,0
11,0,1,3,327,1,1,2,0,1
11,0,1,3,311,1,0,3,0,1
11,0,1,3,220,1,1,3,0,0
11,0,1,3,248,1,0,1,0,0
11,0,1,3,387,1,1,3,2,0
11,0,1,3,269,1,0,2,0,0
11,0,1,3,243,1,1,4,0,0
2,1,2,1,332,4,0,2,0,0
2,1,2,1,282,4,1,2,0,0
2,1,2,1,154,3,0,4,0,1
2,1,2,1,407,3,1,2,2,1
2,1,2,1,400,4,0,1,2,0
2,1,2,1,347,5,1,1,0,1
2,1,2,1,348,4,0,3,0,0
2,1,2,1,290,2,1,1,0,1
2,1,2,1,425,3,0,2,2,0
2,1,2,1,282,4,1,1,0,1
2,1,2,1,555,2,0,4,2,0
2,1,2,1,204,4,1,2,0,1
2,1,2,1,388,3,0,2,2,0
2,1,2,2,229,4,1,2,0,0
2,1,2,2,296,5,0,2,0,0
2,1,2,2,305,5,1,4,0,1
2,1,2,2,332,5,0,1,0,0
2,1,2,2,248,6,1,1,0,1
2,1,2,2,264,4,0,2,0,0
2,1,2,2,333,4,1,2,0,1
2,1,2,2,342,4,0,2,0,0
2,1,2,2,247,6,1,4,0,0
2,1,2,2,288,1,0,1,0,0
2,1,2,2,274,5,1,3,0,0
2,1,2,2,421,5,0,4,2,0
2,1,2,3,143,4,1,4,0,1
2,1,2,3,417,1,0,2,2,0
2,1,2,3,267,4,1,3,0,1
2,1,2,3,365,1,0,1,0,0
2,1,2,3,302,2,1,3,0,1
2,1,2,3,310,1,0,3,0,1
2,1,2,3,350,1,1,1,0,1
2,1,2,3,315,1,0,4,0,0
2,1,2,3,351,5,1,3,0,1
2,1,2,3,403,1,0,4,2,0
2,1,2,3,376,5,1,1,0,0
2,1,2,3,240,4,0,2,0,0
2,1,2,3,292,1,1,2,0,1
2,1,2,2,500,2,0,4,2,0
2,1,2,2,720,3,1,3,1,1
2,1,2,2,999,2,0,1,1,0
2,1,2,2,308,3,1,1,0,1
2,1,2,2,280,2,0,1,0,1
2,1,2,2,288,3,1,3,0,1
2,1,2,2,480,3,0,1,2,0
2,1,2,2,422,3,1,4,2,1
2,1,2,2,236,3,0,1,0,1
2,1,2,2,999,3,1,4,1,1
2,1,2,2,335,2,0,4,0,0
2,1,2,2,340,4,1,1,0,1
2,1,2,2,360,4,0,1,0,1
2,1,2,2,470,3,1,2,2,0
2,1,2,1,687,2,0,1,1,1
2,1,2,1,522,3,1,3,2,0
2,1,2,1,272,2,0,3,0,0
2,1,2,1,208,2,1,4,0,1
2,1,2,1,888,1,0,1,1,1
2,1,2,1,656,2,1,1,2,1
2,1,2,1,780,3,0,2,1,1
2,1,2,1,500,3,1,2,2,0
2,1,2,1,999,2,0,3,1,0
2,1,2,1,999,3,1,2,1,1
2,1,2,1,700,3,0,1,1,1
2,1,2,1,281,3,1,3,0,1
2,1,2,1,588,2,0,2,2,0
2,1,2,1,515,2,1,3,2,1
2,1,2,1,842,2,0,3,1,0
2,1,2,1,296,3,1,4,0,1
2,1,2,3,925,3,0,4,1,0
2,1,2,3,315,4,1,1,0,0
2,1,2,3,720,3,0,1,1,0
2,1,2,3,328,4,1,3,0,0
2,1,2,3,290,4,0,2,0,0
2,1,2,3,322,4,1,1,0,1
2,1,2,3,914,2,0,4,1,0
2,1,2,3,316,2,1,3,0,1
2,1,2,3,999,1,0,1,1,1
2,1,2,3,825,3,1,2,1,0
2,1,2,3,671,3,0,1,1,1
2,1,2,3,700,3,1,3,1,1
2,1,2,3,276,3,0,2,0,0
2,1,2,3,463,2,1,1,2,1
2,1,2,3,714,2,0,4,1,0
